color,fuelTypeId,id,km,make,makeId,province,provinceId,title,transmissionType,transmissionTypeId,year,brand,brand_id,model,model_id,price,seller_type,bodyType,cubicCapacity,doors,hp,acceleration,consumptionAverage,consumptionExtraUrban,consumptionUrban,emissions,fuelTankCapacity,height,length,luggageCapacity,manufacturerPrice,seats,topSpeed,weight,width
COMMON.COLOR_WHITE,2,51360857,130000,AUDI,4,Sta. C. Tenerife,38,AUDI A1 Sportback 1.0 TFSI 95CV Attracted 5p.,COMMON.TRANSMISSION_MANUAL,2,2015,AUDI,4,A1,966.0,12990,profesional,BODY_TYPE_SEDAN,999.0,5.0,95.0,11.1,4.2,3.7,5.0,97.0,45.0,1422.0,3973.0,270.0,19493,4.0,186.0,1135.0,1746.0
COMMON.COLOR_WHITE,1,51189684,54589,AUDI,4,Sevilla,41,AUDI A4 Allroad Quattro unlimited 2.0 TDI 120kW quattro S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,A4 Allroad Quattro,925.0,36990,profesional,BODY_TYPE_FAMILIAR,1968.0,5.0,163.0,8.3,5.0,4.7,5.6,132.0,58.0,1493.0,4750.0,505.0,49978,5.0,210.0,1715.0,1842.0
COMMON.COLOR_BLACK,1,48881006,21310,AUDI,4,Almería,4,AUDI Q2 Sport 30 TDI 85kW 116CV S tronic,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,Q2,1199.0,29900,profesional,BODY_TYPE_4X4,1598.0,5.0,116.0,10.5,4.7,4.4,5.1,122.0,50.0,1508.0,4191.0,405.0,31967,5.0,197.0,1435.0,1794.0
COMMON.COLOR_WHITE,1,50885510,57532,AUDI,4,León,24,AUDI Q3 35 TDI 110kW 150CV S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,Q3,999.0,32900,profesional,BODY_TYPE_4X4,1968.0,5.0,150.0,9.2,4.7,4.3,5.4,123.0,60.0,1616.0,4484.0,530.0,37352,5.0,207.0,1655.0,1856.0
COMMON.COLOR_WHITE,1,51360841,102536,AUDI,4,Ciudad Real,13,AUDI A3 Sedan 2.0 TDI 150cv Ambition 4p.,COMMON.TRANSMISSION_MANUAL,2,2014,AUDI,4,A3,345.0,17500,profesional,BODY_TYPE_SEDAN,1968.0,4.0,150.0,8.7,4.1,3.5,5.2,107.0,50.0,1416.0,4456.0,425.0,30670,5.0,224.0,1390.0,1796.0
COMMON.COLOR_RED,1,51360837,93709,AUDI,4,Ciudad Real,13,AUDI A3 1.6 TDI 110cv clean diesel Attraction 3p.,COMMON.TRANSMISSION_MANUAL,2,2016,AUDI,4,A3,345.0,15800,profesional,BODY_TYPE_SEDAN,1598.0,3.0,110.0,10.5,3.8,3.4,4.5,99.0,50.0,1421.0,4237.0,365.0,24990,5.0,200.0,1305.0,1777.0
COMMON.COLOR_RED,2,51260639,22458,AUDI,4,Girona,17,AUDI A1 Sportback Adrenalin 30 TFSI 81kW 110CV 5p.,COMMON.TRANSMISSION_MANUAL,2,2020,AUDI,4,A1,966.0,25300,profesional,BODY_TYPE_SEDAN,999.0,5.0,110.0,10.5,4.9,4.1,6.1,112.0,40.0,1409.0,4029.0,335.0,27653,5.0,203.0,1180.0,1740.0
COMMON.COLOR_WHITE,2,50540935,93403,AUDI,4,Valencia,46,AUDI Q2 Design 30 TFSI 85kW 116CV 5p.,COMMON.TRANSMISSION_MANUAL,2,2019,AUDI,4,Q2,1199.0,23995,profesional,BODY_TYPE_4X4,999.0,5.0,116.0,10.1,5.3,4.8,6.1,115.0,50.0,1508.0,4191.0,405.0,29341,5.0,197.0,1300.0,1794.0
COMMON.COLOR_GRAY,1,51360819,27000,AUDI,4,Girona,17,AUDI A4 S line 35 TDI 110kW 150CV S tronic 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,A4,7.0,31500,profesional,BODY_TYPE_SEDAN,1968.0,4.0,150.0,8.9,4.5,4.2,5.0,118.0,40.0,1427.0,4726.0,480.0,43922,5.0,219.0,1545.0,1842.0
COMMON.COLOR_WHITE,1,51224764,24000,AUDI,4,Las Palmas,35,AUDI Q3 35 TDI 110kW 150CV S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,Q3,999.0,34990,profesional,BODY_TYPE_4X4,1968.0,5.0,150.0,9.2,4.7,4.3,5.4,123.0,60.0,1616.0,4484.0,530.0,37352,5.0,207.0,1655.0,1856.0
COMMON.COLOR_GRAY,1,51360803,63006,AUDI,4,Girona,17,AUDI Q5 Design 2.0 TDI 120kW quattro S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,Q5,904.0,35500,profesional,BODY_TYPE_4X4,1968.0,5.0,163.0,8.9,5.0,4.8,5.4,132.0,65.0,1659.0,4663.0,550.0,52110,5.0,211.0,1845.0,1893.0
COMMON.COLOR_WHITE,1,51360801,63653,AUDI,4,Ciudad Real,13,AUDI Q3 Sportback 40 TDI 140kW S tronic Quattro Black Line 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2020,AUDI,4,Q3 Sportback,1293.0,49500,profesional,BODY_TYPE_4X4,1968.0,5.0,200.0,7.3,5.3,4.7,6.3,143.0,60.0,1567.0,4500.0,530.0,53164,5.0,224.0,1735.0,1840.0
COMMON.COLOR_RED,2,51360799,21207,AUDI,4,Girona,17,AUDI A3 Sportback Black line 35 TFSI 110kW S tro 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,A3,345.0,30500,profesional,BODY_TYPE_SEDAN,1498.0,5.0,150.0,8.2,5.1,4.4,6.4,117.0,50.0,1426.0,4313.0,380.0,36053,5.0,220.0,1315.0,1785.0
COMMON.COLOR_WHITE,1,51360800,67212,AUDI,4,Girona,17,AUDI A5 sport 2.0 TDI 140kW S tronic Sportback 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,A5,611.0,35900,profesional,BODY_TYPE_SEDAN,1968.0,5.0,190.0,7.9,4.3,4.0,4.9,112.0,40.0,1386.0,4733.0,480.0,50421,5.0,235.0,1595.0,1843.0
COMMON.COLOR_GRAY,2,51110198,51813,AUDI,4,Valencia,46,AUDI A3 35 TFSI 110kW 150CV S tronic Sportback 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,A3,345.0,25900,profesional,BODY_TYPE_SEDAN,1498.0,5.0,150.0,8.2,5.1,4.4,6.4,117.0,50.0,1426.0,4313.0,380.0,31501,5.0,220.0,1345.0,1785.0
COMMON.COLOR_RED,2,50540554,89460,AUDI,4,Valencia,46,AUDI A3 30 TFSI 85kW 116CV Sportback 5p.,COMMON.TRANSMISSION_MANUAL,2,2019,AUDI,4,A3,345.0,21995,profesional,BODY_TYPE_SEDAN,999.0,5.0,116.0,9.9,5.1,4.6,6.0,117.0,50.0,1426.0,4313.0,380.0,27210,5.0,206.0,1265.0,1785.0
COMMON.COLOR_BLACK,1,50860742,115000,AUDI,4,Barcelona,8,AUDI Q2 sport ed 1.6 TDI 85kW 116CV S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,Q2,1199.0,24990,profesional,BODY_TYPE_4X4,1598.0,5.0,116.0,10.5,4.3,4.2,4.4,113.0,50.0,1508.0,4191.0,355.0,32092,5.0,197.0,1395.0,1794.0
COMMON.COLOR_WHITE,1,50992174,77958,AUDI,4,Girona,17,AUDI Q3 35 TDI 110kW 150CV S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,Q3,999.0,32900,profesional,BODY_TYPE_4X4,1968.0,5.0,150.0,9.2,4.7,4.3,5.4,123.0,60.0,1616.0,4484.0,530.0,37802,5.0,207.0,1655.0,1856.0
COMMON.COLOR_GRAY,1,51360788,76640,AUDI,4,Girona,17,AUDI A3 Sportback S line 35 TDI 110kW S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,A3,345.0,26500,profesional,BODY_TYPE_SEDAN,1968.0,5.0,150.0,8.1,4.5,4.0,5.2,117.0,50.0,1426.0,4313.0,380.0,36128,5.0,218.0,1395.0,1785.0
COMMON.COLOR_GRAY,1,51360773,33000,AUDI,4,Córdoba,14,AUDI A4 Advanced edition 2.0 TDI 110kW 150CV 4p.,COMMON.TRANSMISSION_MANUAL,2,2018,AUDI,4,A4,7.0,23975,profesional,BODY_TYPE_SEDAN,1968.0,4.0,150.0,8.9,4.0,3.6,4.8,104.0,40.0,1427.0,4726.0,480.0,38120,5.0,221.0,1505.0,1842.0
COMMON.COLOR_WHITE,1,51230322,107841,AUDI,4,Málaga,29,AUDI A5 Cabrio 2.0 TDI 177cv 2p.,COMMON.TRANSMISSION_MANUAL,2,2013,AUDI,4,A5,611.0,23900,profesional,BODY_TYPE_CABRIO,1968.0,2.0,177.0,8.8,4.8,4.3,5.7,127.0,63.0,1383.0,4626.0,320.0,47820,4.0,222.0,1730.0,1854.0
COMMON.COLOR_GRAY,1,51001410,12293,AUDI,4,Girona,17,AUDI A4 Avant 2.0 TDI 190CV quattro S tron sport 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,A4,7.0,38900,profesional,BODY_TYPE_FAMILIAR,1968.0,5.0,190.0,7.4,4.5,4.1,5.2,120.0,58.0,1434.0,4725.0,505.0,49461,5.0,230.0,1690.0,1842.0
COMMON.COLOR_BLUE,2,51224761,14000,AUDI,4,Las Palmas,35,AUDI A3 RS 3 2.5 TFSI quattro S tronic Sportback 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,A3,345.0,54990,profesional,BODY_TYPE_SEDAN,2480.0,5.0,400.0,4.1,8.3,6.6,11.3,189.0,55.0,1411.0,4335.0,335.0,64482,5.0,250.0,1585.0,1800.0
COMMON.COLOR_WHITE,1,51323349,105870,AUDI,4,Sevilla,41,AUDI A3 design edition 1.6 TDI 85kW116CV Sedan 4p.,COMMON.TRANSMISSION_MANUAL,2,2017,AUDI,4,A3,345.0,19490,profesional,BODY_TYPE_SEDAN,1598.0,4.0,116.0,10.4,4.1,3.8,4.6,107.0,50.0,1416.0,4458.0,425.0,29856,5.0,205.0,1335.0,1796.0
COMMON.COLOR_BLACK,1,50835652,177002,AUDI,4,Navarra,31,AUDI A6 2.0 TDI 150cv ultra Advanced edition 4p.,COMMON.TRANSMISSION_MANUAL,2,2015,AUDI,4,A6,27.0,18500,profesional,BODY_TYPE_SEDAN,1968.0,4.0,150.0,9.5,4.3,3.8,5.1,114.0,73.0,1455.0,4933.0,530.0,44437,5.0,214.0,1700.0,1874.0
COMMON.COLOR_WHITE,1,51051595,106858,AUDI,4,Girona,17,AUDI Q5 Design 2.0 TDI 140kW quattro S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,Q5,904.0,33900,profesional,BODY_TYPE_4X4,1968.0,5.0,190.0,7.9,5.0,4.8,5.4,132.0,65.0,1659.0,4663.0,550.0,54810,5.0,218.0,1845.0,1893.0
COMMON.COLOR_RED,1,51113106,70738,AUDI,4,Girona,17,AUDI Q2 sport ed 1.6 TDI 85kW 116CV S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,Q2,1199.0,24900,profesional,BODY_TYPE_4X4,1598.0,5.0,116.0,10.5,4.3,4.2,4.5,113.0,50.0,1508.0,4191.0,405.0,32417,5.0,197.0,1395.0,1794.0
COMMON.COLOR_GRAY,2,51360741,69900,AUDI,4,Barcelona,8,AUDI A4 Avant S line 35 TFSI 110kW S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,AUDI,4,A4,7.0,27700,profesional,BODY_TYPE_FAMILIAR,1984.0,5.0,150.0,9.2,5.9,5.0,7.5,131.0,54.0,1434.0,4725.0,505.0,44518,5.0,220.0,1570.0,1842.0
COMMON.COLOR_RED,1,51360728,93709,AUDI,4,Granada,18,AUDI A3 1.6 TDI 110cv clean diesel Attraction 3p.,COMMON.TRANSMISSION_MANUAL,2,2016,AUDI,4,A3,345.0,15800,profesional,BODY_TYPE_SEDAN,1598.0,3.0,110.0,10.5,3.8,3.4,4.5,99.0,50.0,1421.0,4237.0,365.0,24990,5.0,200.0,1305.0,1777.0
COMMON.COLOR_GRAY,1,51113112,15690,AUDI,4,Girona,17,AUDI Q3 35 TDI 110kW 150CV S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,Q3,999.0,36900,profesional,BODY_TYPE_4X4,1968.0,5.0,150.0,9.2,4.7,4.3,5.4,123.0,60.0,1616.0,4484.0,530.0,37352,5.0,207.0,1655.0,1856.0
COMMON.COLOR_BLACK,1,50988095,129000,AUDI,4,Almería,4,AUDI A8 3.0 TDI clean diesel 262CV quattro tiptr 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2016,AUDI,4,A8,105.0,29900,profesional,BODY_TYPE_SEDAN,2967.0,4.0,262.0,5.9,5.8,4.9,7.3,151.0,82.0,1460.0,5135.0,490.0,87732,5.0,250.0,1955.0,1949.0
COMMON.COLOR_BLACK,1,51113118,135485,AUDI,4,Girona,17,AUDI A4 S line ed 2.0 TDI 140kW S tronic Avant 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,A4,7.0,26500,profesional,BODY_TYPE_FAMILIAR,1968.0,5.0,190.0,7.9,4.4,4.1,5.0,113.0,40.0,1434.0,4725.0,505.0,47641,5.0,231.0,1605.0,1842.0
COMMON.COLOR_GRAY,1,51360709,62327,AUDI,4,Granada,18,AUDI Q5 S line 2.0 TDI 120kW quattro S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,Q5,904.0,35400,profesional,BODY_TYPE_4X4,1968.0,5.0,163.0,8.9,5.1,4.9,5.4,133.0,65.0,1659.0,4663.0,550.0,53536,5.0,211.0,1845.0,1893.0
COMMON.COLOR_WHITE,2,51360697,127168,AUDI,4,Granada,18,AUDI A5 Cabrio 2.0 TFSI 180cv multitronic 2p.,COMMON.TRANSMISSION_AUTOMATIC,1,2010,AUDI,4,A5,611.0,15950,profesional,BODY_TYPE_CABRIO,1984.0,2.0,180.0,8.9,7.4,6.0,9.9,174.0,65.0,1383.0,4625.0,320.0,46060,4.0,219.0,1655.0,1854.0
COMMON.COLOR_BROWN,1,49918344,140000,AUDI,4,Sevilla,41,AUDI A5 Cabrio 2.0 TDI 170cv DPF 2p.,COMMON.TRANSMISSION_MANUAL,2,2010,AUDI,4,A5,611.0,18990,profesional,BODY_TYPE_CABRIO,1968.0,2.0,170.0,9.3,5.5,4.7,6.7,144.0,65.0,1383.0,4625.0,320.0,44340,4.0,222.0,1655.0,1854.0
COMMON.COLOR_GRAY,2,50990401,29900,AUDI,4,Almería,4,AUDI R8 5.2 FSI 449kW 610CV plus quattro S tro 2p.,COMMON.TRANSMISSION_AUTOMATIC,1,2016,AUDI,4,R8,608.0,119000,profesional,BODY_TYPE_COUPE,5204.0,2.0,610.0,3.2,12.3,9.3,17.5,287.0,73.0,1240.0,4426.0,112.0,218071,2.0,330.0,1655.0,1940.0
COMMON.COLOR_BROWN,1,51198615,277737,AUDI,4,Barcelona,8,AUDI A6 allroad quattro 3.0 TDI 320cv quattro tiptro Advanced ed 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2015,AUDI,4,A6 allroad quattro,1023.0,23890,profesional,BODY_TYPE_FAMILIAR,2967.0,5.0,320.0,5.5,6.5,5.8,7.7,172.0,73.0,1534.0,4938.0,565.0,77640,5.0,250.0,2030.0,1898.0
COMMON.COLOR_BLACK,1,51360648,302000,AUDI,4,Zaragoza,50,AUDI A6 2.0 TDI 190cv ultra S tronic 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2015,AUDI,4,A6,27.0,16500,profesional,BODY_TYPE_SEDAN,1968.0,4.0,190.0,8.2,4.4,3.9,5.1,110.0,73.0,1455.0,4933.0,530.0,45870,5.0,232.0,1735.0,1874.0
COMMON.COLOR_WHITE,1,51134695,117253,AUDI,4,Salamanca,37,AUDI A3 1.6 TDI 85kW 116CV Sportback 5p.,COMMON.TRANSMISSION_MANUAL,2,2018,AUDI,4,A3,345.0,18290,profesional,BODY_TYPE_SEDAN,1598.0,5.0,116.0,10.4,4.1,3.8,4.6,107.0,50.0,1426.0,4313.0,380.0,27427,5.0,202.0,1360.0,1785.0
COMMON.COLOR_GRAY,1,51331872,45600,AUDI,4,Sevilla,41,AUDI A3 1.6 TDI 85kW 116CV S tronic Sedan 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,A3,345.0,23690,profesional,BODY_TYPE_SEDAN,1598.0,4.0,116.0,10.4,4.0,3.8,4.2,102.0,50.0,1416.0,4458.0,425.0,30306,5.0,205.0,1360.0,1796.0
COMMON.COLOR_GRAY,1,51228712,175000,AUDI,4,Almería,4,AUDI A8 L 4.2 TDI 350cv quattro tiptronic 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2011,AUDI,4,A8,105.0,23900,profesional,BODY_TYPE_SEDAN,4134.0,4.0,350.0,5.6,7.8,6.2,10.3,204.0,90.0,1471.0,5267.0,510.0,110060,5.0,250.0,2120.0,1949.0
COMMON.COLOR_GRAY,2,51257982,18000,AUDI,4,Almería,4,AUDI Q3 RS 2.5 TFSI quattro 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2020,AUDI,4,Q3,999.0,74000,profesional,BODY_TYPE_4X4,2480.0,5.0,400.0,4.5,8.8,7.3,11.5,202.0,60.0,1602.0,4506.0,530.0,73713,5.0,250.0,1790.0,1851.0
COMMON.COLOR_RED,1,51274102,39186,AUDI,4,Sevilla,41,AUDI A1 1.6 TDI 90cv Attraction 3p.,COMMON.TRANSMISSION_AUTOMATIC,1,2012,AUDI,4,A1,966.0,13790,profesional,BODY_TYPE_SEDAN,1598.0,3.0,90.0,11.4,3.8,3.4,4.4,99.0,45.0,1416.0,3954.0,270.0,17540,4.0,182.0,1210.0,1740.0
COMMON.COLOR_BLACK,1,51134693,51119,AUDI,4,Salamanca,37,AUDI Q2 sport ed 2.0 TDI 140kW quattro S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,Q2,1199.0,28490,profesional,BODY_TYPE_4X4,1968.0,5.0,190.0,7.3,5.0,4.6,5.8,132.0,55.0,1508.0,4191.0,405.0,39471,5.0,218.0,1480.0,1794.0
COMMON.COLOR_WHITE,1,51360598,260000,AUDI,4,Madrid,28,AUDI TT Coupe 2.0 TDI DPF quattro 3p.,COMMON.TRANSMISSION_MANUAL,2,2010,AUDI,4,TT,360.0,11900,profesional,BODY_TYPE_COUPE,1968.0,3.0,170.0,7.5,5.3,4.3,7.0,139.0,60.0,1352.0,4178.0,290.0,39190,4.0,226.0,1370.0,1842.0
COMMON.COLOR_WHITE,2,51157081,171000,AUDI,4,Alicante,3,AUDI A3 Sportb 1.8 TFSI 180CV quat S tro Attract 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2015,AUDI,4,A3,345.0,18490,profesional,BODY_TYPE_SEDAN,1798.0,5.0,180.0,6.8,6.6,5.6,8.2,152.0,55.0,1425.0,4310.0,340.0,34670,5.0,228.0,1455.0,1785.0
COMMON.COLOR_BLACK,1,51220920,128422,AUDI,4,Madrid,28,AUDI A3 2.0 TDI 110kW 150CV S tronic Sportback 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,A3,345.0,20475,profesional,BODY_TYPE_SEDAN,1968.0,5.0,150.0,8.1,4.4,4.0,5.2,114.0,50.0,1426.0,4313.0,380.0,31726,5.0,218.0,1395.0,1785.0
COMMON.COLOR_GRAY,1,51360545,99895,AUDI,4,Madrid,28,AUDI A5 sport 2.0 TDI quattro S tronic Sportback,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,A5,611.0,34950,profesional,BODY_TYPE_SEDAN,1968.0,5.0,190.0,7.4,4.6,4.3,5.3,121.0,58.0,1386.0,4733.0,480.0,53665,5.0,235.0,1675.0,1843.0
COMMON.COLOR_BLACK,2,50182059,79000,AUDI,4,Barcelona,8,AUDI A3 2.5 TFSI RS3 S tronic quattro Sportback 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2016,AUDI,4,A3,345.0,36390,profesional,BODY_TYPE_SEDAN,2480.0,5.0,367.0,4.3,8.1,6.3,11.2,189.0,50.0,1411.0,4343.0,280.0,59860,5.0,250.0,1595.0,1800.0
COMMON.COLOR_BLACK,4,50836149,53547,AUDI,4,Madrid,28,AUDI A6 Sport 40 TDI 150kW 204CV S tronic 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,A6,27.0,39850,profesional,BODY_TYPE_SEDAN,1968.0,4.0,204.0,8.1,4.5,4.2,5.0,117.0,73.0,1457.0,4939.0,530.0,55494,5.0,246.0,1720.0,1886.0
COMMON.COLOR_BLUE,1,51360533,167000,AUDI,4,Zaragoza,50,AUDI A6 3.0 TDI 204cv quattro S tronic 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2012,AUDI,4,A6,27.0,19990,profesional,BODY_TYPE_SEDAN,2967.0,4.0,204.0,7.0,5.7,5.0,6.7,149.0,75.0,1455.0,4915.0,530.0,51340,5.0,240.0,1795.0,1874.0
COMMON.COLOR_GRAY,1,51360524,105000,AUDI,4,Zaragoza,50,AUDI A6 2.0 TDI 190cv ultra S tronic 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2015,AUDI,4,A6,27.0,25490,profesional,BODY_TYPE_SEDAN,1968.0,4.0,190.0,8.2,4.4,3.9,5.1,109.0,73.0,1455.0,4933.0,530.0,45440,5.0,232.0,1735.0,1874.0
COMMON.COLOR_WHITE,1,51360511,102536,AUDI,4,Albacete,2,AUDI A3 Sedan 2.0 TDI 150cv Ambition 4p.,COMMON.TRANSMISSION_MANUAL,2,2014,AUDI,4,A3,345.0,17500,profesional,BODY_TYPE_SEDAN,1968.0,4.0,150.0,8.7,4.1,3.5,5.2,107.0,50.0,1416.0,4456.0,425.0,30670,5.0,224.0,1390.0,1796.0
COMMON.COLOR_RED,1,51360476,99900,AUDI,4,Madrid,28,AUDI A4 Avant 3.0 TDI 272CV quattro tiptronic,COMMON.TRANSMISSION_AUTOMATIC,1,2016,AUDI,4,A4,7.0,33600,profesional,BODY_TYPE_FAMILIAR,2967.0,5.0,272.0,5.4,5.1,4.8,5.6,134.0,58.0,1434.0,4725.0,505.0,54610,5.0,250.0,1770.0,1842.0
COMMON.COLOR_GARNET,1,50865356,79000,AUDI,4,Valencia,46,AUDI Q5 Advanced 2.0 TDI 120kW quattro S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,Q5,904.0,36900,profesional,BODY_TYPE_4X4,1968.0,5.0,163.0,8.9,5.0,4.8,5.4,132.0,65.0,1659.0,4663.0,550.0,50450,5.0,211.0,1845.0,1893.0
COMMON.COLOR_WHITE,2,51067014,122000,AUDI,4,Vizcaya,48,AUDI A1 1.2 TFSI 86cv Ambition 3p.,COMMON.TRANSMISSION_MANUAL,2,2011,AUDI,4,A1,966.0,8999,profesional,BODY_TYPE_SEDAN,1197.0,3.0,86.0,11.7,5.1,4.4,6.2,118.0,45.0,1416.0,3954.0,270.0,18520,4.0,180.0,1115.0,1740.0
COMMON.COLOR_WHITE,1,51188744,162000,AUDI,4,Madrid,28,AUDI A5 Sportback 2.0 TDI 143cv multitronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2013,AUDI,4,A5,611.0,16900,profesional,BODY_TYPE_SEDAN,1968.0,5.0,143.0,9.4,4.8,4.4,5.7,127.0,63.0,1391.0,4712.0,480.0,41410,4.0,205.0,1615.0,1854.0
COMMON.COLOR_GRAY,2,51331873,190000,AUDI,4,Sevilla,41,AUDI A5 2.0 TFSI 211cv 2p.,COMMON.TRANSMISSION_MANUAL,2,2010,AUDI,4,A5,611.0,12290,profesional,BODY_TYPE_COUPE,1984.0,2.0,211.0,6.9,6.4,5.3,8.3,149.0,65.0,1372.0,4625.0,455.0,41010,4.0,250.0,1430.0,1854.0
COMMON.COLOR_GRAY,2,51122583,197000,AUDI,4,Madrid,28,AUDI A6 2.8 FSI 204cv quattro S tronic 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2011,AUDI,4,A6,27.0,13990,profesional,BODY_TYPE_SEDAN,2773.0,4.0,204.0,8.1,8.0,6.5,10.7,187.0,65.0,1455.0,4915.0,530.0,50370,5.0,240.0,1755.0,1874.0
COMMON.COLOR_WHITE,1,50832970,75000,AUDI,4,Guipúzcoa,20,AUDI A5 2.0 TDI 110kW S tronic Sportback 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,A5,611.0,36990,profesional,BODY_TYPE_SEDAN,1968.0,5.0,150.0,8.9,4.2,3.8,4.9,110.0,40.0,1386.0,4733.0,480.0,44215,5.0,217.0,1590.0,1843.0
COMMON.COLOR_BLUE,1,49259889,38253,AUDI,4,La Rioja,26,AUDI A4 S line edition 2.0 TDI 110kW 150CV 4p.,COMMON.TRANSMISSION_MANUAL,2,2018,AUDI,4,A4,7.0,29900,profesional,BODY_TYPE_SEDAN,1968.0,4.0,150.0,8.9,4.0,3.6,4.8,106.0,40.0,1427.0,4726.0,480.0,40454,5.0,221.0,1505.0,1842.0
COMMON.COLOR_WHITE,2,51182971,63136,AUDI,4,Valladolid,47,AUDI A3 Sedan 1.4 TFSI 125cv S line edition 4p.,COMMON.TRANSMISSION_MANUAL,2,2015,AUDI,4,A3,345.0,21900,profesional,BODY_TYPE_SEDAN,1395.0,4.0,125.0,9.4,5.3,4.4,6.7,119.0,50.0,1416.0,4456.0,425.0,27500,5.0,212.0,1290.0,1796.0
COMMON.COLOR_BLACK,1,51360388,64000,AUDI,4,Madrid,28,AUDI Q7 Black line 45 TDI 170kW 232CV qua. ti.,COMMON.TRANSMISSION_AUTOMATIC,1,2020,AUDI,4,Q7,571.0,69990,profesional,BODY_TYPE_4X4,2967.0,5.0,231.0,7.1,6.8,6.3,7.7,180.0,75.0,1741.0,5063.0,605.0,79110,5.0,229.0,2165.0,1970.0
COMMON.COLOR_BROWN,1,51249867,145000,AUDI,4,Madrid,28,AUDI SQ5 3.0 TDI 313cv quattro tiptronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2014,AUDI,4,SQ5,1048.0,29990,profesional,BODY_TYPE_4X4,2967.0,5.0,313.0,5.1,6.8,6.4,7.6,179.0,75.0,1624.0,4644.0,540.0,70330,5.0,250.0,1995.0,1911.0
COMMON.COLOR_GRAY,1,51360367,118430,AUDI,4,A Coruña,15,AUDI Q2 Design 30 TDI 85kW 116CV S tronic 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,AUDI,4,Q2,1199.0,23550,profesional,BODY_TYPE_4X4,1598.0,5.0,116.0,10.5,4.7,4.4,5.1,122.0,50.0,1508.0,4191.0,405.0,32549,5.0,197.0,1435.0,1794.0
COMMON.COLOR_BLACK,2,50573386,260000,AUDI,4,Madrid,28,AUDI A5 2.0 TFSI 180cv 2p.,COMMON.TRANSMISSION_MANUAL,2,2010,AUDI,4,A5,611.0,9290,profesional,BODY_TYPE_COUPE,1984.0,2.0,180.0,7.8,6.4,5.3,8.3,149.0,65.0,1372.0,4625.0,455.0,36710,4.0,236.0,1430.0,1854.0
COMMON.COLOR_WHITE,1,49625120,74995,AUDI,4,Badajoz,6,AUDI A5 S line 2.0 TDI 140kW S tronic Coupe 2p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,AUDI,4,A5,611.0,33500,profesional,BODY_TYPE_COUPE,1968.0,2.0,190.0,7.7,4.3,4.0,5.0,113.0,40.0,1371.0,4673.0,465.0,50421,4.0,238.0,1565.0,1846.0
